scientific_name,vernacular_name,genus,subgenus,taxon_rank,family_name,exotic,threatened_species_status
Soliva sp.,,,,,,f,
Capillipedium spicigerum,,Capillipedium,,,Poaceae,f,
Carpobrotus glaucescens,,Carpobrotus,,,Aizoaceae,f,
Centaurium spicatum,,Centaurium,,,Gentianaceae,f,
Centipeda minima,,Centipeda,,,Asteraceae,f,
Chiloglottis diphylla,,Chiloglottis,,,Orchidaceae,f,
Chiloglottis formicifera,,Chiloglottis,,,Orchidaceae,f,
Christella dentata,,Christella,,,Thelypteridaceae,f,
Comesperma sphaerocarpum,,Comesperma,,,Polygalaceae,f,
Conospermum longifolium,,Conospermum,,,Proteaceae,f,
Corybas fimbriatus,,Corybas,,,Orchidaceae,f,
Crassula decumbens,,Crassula,,,Crassulaceae,f,
Cymbidium suave,,Cymbidium,,,Orchidaceae,f,
Cyperus mirus,,Cyperus,,,Cyperaceae,f,
Cyperus odoratus,,Cyperus,,,Cyperaceae,f,
Cyperus platystylis,,Cyperus,,,Cyperaceae,f,
Daviesia squarrosa,,Daviesia,,,Fabaceae,f,
Dendrobium speciosum,,Dendrobium,,,Orchidaceae,f,
Dichelachne sieberiana,,Dichelachne,,,Poaceae,f,
Digitaria diffusa,,Digitaria,,,Poaceae,f,
Dillwynia elegans,,Dillwynia,,,Fabaceae,f,
Dillwynia phylicoides,,Dillwynia,,,Fabaceae,f,
Dipodium roseum,,Dipodium,,,Orchidaceae,f,
Doodia aspera,,Doodia,,,Blechnaceae,f,
Dysphania carinata,,Dysphania,,,Amaranthaceae,f,
Dysphania pumilio,,Dysphania,,,Amaranthaceae,f,
Eleocharis cylindrostachys,,Eleocharis,,,Cyperaceae,f,
Eleocharis equisetina,,Eleocharis,,,Cyperaceae,f,
Eragrostis elongata,,Eragrostis,,,Poaceae,f,
Erythrorchis cassythoides,,Erythrorchis,,,Orchidaceae,f,
Ficus coronata,,Ficus,,,Moraceae,f,
Galium liratum,,Galium,,,Rubiaceae,f,
Gompholobium inconspicuum,,Gompholobium,,,Fabaceae,f,
Gonocarpus humilis,,Gonocarpus,,,Haloragaceae,f,
Gonocarpus micranthus,,Gonocarpus,,,Haloragaceae,f,
Hemarthria uncinata,,Hemarthria,,,Poaceae,f,
Eucalyptus camaldulensis,Red Gum,Eucalyptus,,species,Myrtaceae,f,endangered population
Hydrocotyle acutiloba,,Hydrocotyle,,,Araliaceae,f,
Hydrocotyle tripartita,,Hydrocotyle,,,Araliaceae,f,
Isachne globosa,,Isachne,,,Poaceae,f,
Isotoma fluviatilis,,Isotoma,,,Campanulaceae,f,
Juncus aridicola,,Juncus,,,Juncaceae,f,
Juncus flavidus,,Juncus,,,Juncaceae,f,
Juncus planifolius,,Juncus,,,Juncaceae,f,
Juncus prismatocarpus,,Juncus,,,Juncaceae,f,
Leptospermum grandifolium,,Leptospermum,,,Myrtaceae,f,
Lomandra hystrix,,Lomandra,,,Asparagaceae,f,
Lythrum hyssopifolia,,Lythrum,,,Lythraceae,f,
Melaleuca armillaris,,Melaleuca,,,Myrtaceae,f,
Melaleuca hypericifolia,,Melaleuca,,,Myrtaceae,f,
Mentha satureioides,,Mentha,,,Lamiaceae,f,
Microtis parviflora,,Microtis,,,Orchidaceae,f,
Mirbelia speciosa,,Mirbelia,,,Fabaceae,f,
Myoporum bateae,,Myoporum,,,Scrophulariaceae,f,
Myriophyllum variifolium,,Myriophyllum,,,Haloragaceae,f,
Olax stricta,,Olax,,,Olacaceae,f,
Pandorea jasminoides,,Pandorea,,,Bignoniaceae,f,
Panicum decompositum,,Panicum,,,Poaceae,f,
Paspalidium caespitosum,,Paspalidium,,,Poaceae,f,
Paspalum distichum,,Paspalum,,,Poaceae,f,
Pelargonium australe,,Pelargonium,,,Geraniaceae,f,
Persicaria subsessilis,,Persicaria,,,Polygonaceae,f,
Petrophile pulchella,,Petrophile,,,Proteaceae,f,
Philotheca hispidula,,Philotheca,,,Rutaceae,f,
Pomaderris elliptica,,Pomaderris,,,Rhamnaceae,f,
Potamogeton sulcatus,,Potamogeton,,,Potamogetonaceae,f,
Pterostylis bicolor,,Pterostylis,,,Orchidaceae,f,
Pterostylis curta,,Pterostylis,,,Orchidaceae,f,
Pterostylis oblonga,,Pterostylis,,,Orchidaceae,f,
Pterostylis parviflora,,Pterostylis,,,Orchidaceae,f,
