scientific_name,vernacular_name,family_name,taxon_rank,threatened_species_status,genus,subgenus,exotic,native
Soliva sp.,,,,,,,f,
Capillipedium spicigerum,,Poaceae,,,Capillipedium,,f,
Carpobrotus glaucescens,,Aizoaceae,,,Carpobrotus,,f,
Centaurium spicatum,,Gentianaceae,,,Centaurium,,f,
Centipeda minima,,Asteraceae,,,Centipeda,,f,
Chiloglottis diphylla,,Orchidaceae,,,Chiloglottis,,f,
Chiloglottis formicifera,,Orchidaceae,,,Chiloglottis,,f,
Christella dentata,,Thelypteridaceae,,,Christella,,f,
Comesperma sphaerocarpum,,Polygalaceae,,,Comesperma,,f,
Conospermum longifolium,,Proteaceae,,,Conospermum,,f,
Corybas fimbriatus,,Orchidaceae,,,Corybas,,f,
Crassula decumbens,,Crassulaceae,,,Crassula,,f,
Cymbidium suave,,Orchidaceae,,,Cymbidium,,f,
Cyperus mirus,,Cyperaceae,,,Cyperus,,f,
Cyperus odoratus,,Cyperaceae,,,Cyperus,,f,
Cyperus platystylis,,Cyperaceae,,,Cyperus,,f,
Daviesia squarrosa,,Fabaceae,,,Daviesia,,f,
Dendrobium speciosum,,Orchidaceae,,,Dendrobium,,f,
Dichelachne sieberiana,,Poaceae,,,Dichelachne,,f,
Digitaria diffusa,,Poaceae,,,Digitaria,,f,
Dillwynia elegans,,Fabaceae,,,Dillwynia,,f,
Dillwynia phylicoides,,Fabaceae,,,Dillwynia,,f,
Dipodium roseum,,Orchidaceae,,,Dipodium,,f,
Doodia aspera,,Blechnaceae,,,Doodia,,f,
Dysphania carinata,,Amaranthaceae,,,Dysphania,,f,
Dysphania pumilio,,Amaranthaceae,,,Dysphania,,f,
Eleocharis cylindrostachys,,Cyperaceae,,,Eleocharis,,f,
Eleocharis equisetina,,Cyperaceae,,,Eleocharis,,f,
Eragrostis elongata,,Poaceae,,,Eragrostis,,f,
Erythrorchis cassythoides,,Orchidaceae,,,Erythrorchis,,f,
Ficus coronata,,Moraceae,,,Ficus,,f,
Galium liratum,,Rubiaceae,,,Galium,,f,
Gompholobium inconspicuum,,Fabaceae,,,Gompholobium,,f,
Gonocarpus humilis,,Haloragaceae,,,Gonocarpus,,f,
Gonocarpus micranthus,,Haloragaceae,,,Gonocarpus,,f,
Hemarthria uncinata,,Poaceae,,,Hemarthria,,f,
Eucalyptus camaldulensis,Red Gum,Myrtaceae,species,endangered population,Eucalyptus,,f,
Hydrocotyle acutiloba,,Araliaceae,,,Hydrocotyle,,f,
Hydrocotyle tripartita,,Araliaceae,,,Hydrocotyle,,f,
Isachne globosa,,Poaceae,,,Isachne,,f,
Isotoma fluviatilis,,Campanulaceae,,,Isotoma,,f,
Juncus aridicola,,Juncaceae,,,Juncus,,f,
Juncus flavidus,,Juncaceae,,,Juncus,,f,
Juncus planifolius,,Juncaceae,,,Juncus,,f,
Juncus prismatocarpus,,Juncaceae,,,Juncus,,f,
Leptospermum grandifolium,,Myrtaceae,,,Leptospermum,,f,
Lomandra hystrix,,Asparagaceae,,,Lomandra,,f,
Lythrum hyssopifolia,,Lythraceae,,,Lythrum,,f,
Melaleuca armillaris,,Myrtaceae,,,Melaleuca,,f,
Melaleuca hypericifolia,,Myrtaceae,,,Melaleuca,,f,
Mentha satureioides,,Lamiaceae,,,Mentha,,f,
Microtis parviflora,,Orchidaceae,,,Microtis,,f,
Mirbelia speciosa,,Fabaceae,,,Mirbelia,,f,
Myoporum bateae,,Scrophulariaceae,,,Myoporum,,f,
Myriophyllum variifolium,,Haloragaceae,,,Myriophyllum,,f,
Olax stricta,,Olacaceae,,,Olax,,f,
Pandorea jasminoides,,Bignoniaceae,,,Pandorea,,f,
Panicum decompositum,,Poaceae,,,Panicum,,f,
Paspalidium caespitosum,,Poaceae,,,Paspalidium,,f,
Paspalum distichum,,Poaceae,,,Paspalum,,f,
Pelargonium australe,,Geraniaceae,,,Pelargonium,,f,
Persicaria subsessilis,,Polygonaceae,,,Persicaria,,f,
Petrophile pulchella,,Proteaceae,,,Petrophile,,f,
Philotheca hispidula,,Rutaceae,,,Philotheca,,f,
Pomaderris elliptica,,Rhamnaceae,,,Pomaderris,,f,
Potamogeton sulcatus,,Potamogetonaceae,,,Potamogeton,,f,
Pterostylis bicolor,,Orchidaceae,,,Pterostylis,,f,
Pterostylis curta,,Orchidaceae,,,Pterostylis,,f,
Pterostylis oblonga,,Orchidaceae,,,Pterostylis,,f,
Pterostylis parviflora,,Orchidaceae,,,Pterostylis,,f,
Pterostylis pedunculata,,Orchidaceae,,,Pterostylis,,f,
Pterostylis truncata,,Orchidaceae,,,Pterostylis,,f,
Pultenaea paleacea,,Fabaceae,,,Pultenaea,,f,
Pultenaea scabra,,Fabaceae,,,Pultenaea,,f,
Pyrrosia rupestris,,Polypodiaceae,,,Pyrrosia,,f,
Ranunculus lappaceus,,Ranunculaceae,,,Ranunculus,,f,
Ruppia maritima,,Ruppiaceae,,,Ruppia,,f,
Santalum obtusifolium,,Santalaceae,,,Santalum,,f,
Senecio tenuiflorus,,Asteraceae,,,Senecio,,f,
Senna clavigera,,Fabaceae,,,Senna,,f,
Sigesbeckia orientalis,,Asteraceae,,,Sigesbeckia,,f,
Solenogyne dominii,,Asteraceae,,,Solenogyne,,f,
Sphaeromorphaea australis,,Asteraceae,,,Sphaeromorphaea,,f,
Stylidium laricifolium,,Stylidiaceae,,,Stylidium,,f,
Stylidium productum,,Stylidiaceae,,,Stylidium,,f,
Styphelia triflora,,Ericaceae,,,Styphelia,,f,
Styphelia viridis,,Ericaceae,,,Styphelia,,f,
Thelymitra ixioides,,Orchidaceae,,,Thelymitra,,f,
Thysanotus tuberosus,,Asparagaceae,,,Thysanotus,,f,
Typha domingensis,,Typhaceae,,,Typha,,f,
Vittadinia pustulata,,Asteraceae,,,Vittadinia,,f,
Wurmbea dioica,,Colchicaceae,,,Wurmbea,,f,
Zornia dyctiocarpa,,Fabaceae,,,Zornia,,f,
Zostera capricorni,,Zosteraceae,,,Zostera,,f,
Acacia baileyana,,Fabaceae,,,Acacia,,f,
Acacia binervia,,Fabaceae,,,Acacia,,f,
Acacia brownii,,Fabaceae,,,Acacia,,f,
Acacia decurrens,,Fabaceae,,,Acacia,,f,
Acacia echinula,,Fabaceae,,,Acacia,,f,
Acacia falcata,,Fabaceae,,,Acacia,,f,
Acacia fimbriata,,Fabaceae,,,Acacia,,f,
Acacia floribunda,,Fabaceae,,,Acacia,,f,
Acacia genistifolia,,Fabaceae,,,Acacia,,f,
Acacia implexa,,Fabaceae,,,Acacia,,f,
Acacia linifolia,,Fabaceae,,,Acacia,,f,
Acacia longifolia,,Fabaceae,,,Acacia,,f,
Acacia maidenii,,Fabaceae,,,Acacia,,f,
Acacia mearnsii,,Fabaceae,,,Acacia,,f,
Acacia myrtifolia,,Fabaceae,,,Acacia,,f,
Acacia parramattensis,,Fabaceae,,,Acacia,,f,
Acacia parvipinnula,,Fabaceae,,,Acacia,,f,
Acacia stricta,,Fabaceae,,,Acacia,,f,
Acacia suaveolens,,Fabaceae,,,Acacia,,f,
Acacia prominens,,Fabaceae,,endangered population,Acacia,,f,
Acacia ulicifolia,,Fabaceae,,,Acacia,,f,
Acianthus caudatus,,Orchidaceae,,,Acianthus,,f,
Acianthus fornicatus,,Orchidaceae,,,Acianthus,,f,
Actinotus helianthi,,Araliaceae,,,Actinotus,,f,
Actinotus minor,,Araliaceae,,,Actinotus,,f,
Adiantum aethiopicum,,Pteridaceae,,,Adiantum,,f,
Aegiceras corniculatum,,Primulaceae,,,Aegiceras,,f,
Allocasuarina littoralis,,Casuarinaceae,,,Allocasuarina,,f,
Allocasuarina paludosa,,Casuarinaceae,,,Allocasuarina,,f,
Allocasuarina torulosa,,Casuarinaceae,,,Allocasuarina,,f,
Alocasia brisbanensis,,Araceae,,,Alocasia,,f,
Alphitonia excelsa,,Rhamnaceae,,,Alphitonia,,f,
Alternanthera denticulata,,Amaranthaceae,,,Alternanthera,,f,
Amyema gaudichaudii,,Loranthaceae,,,Amyema,,f,
Amyema miquelii,,Loranthaceae,,,Amyema,,f,
Amyema pendula,,Loranthaceae,,,Amyema,,f,
Angophora bakeri,,Myrtaceae,,,Angophora,,f,
Angophora costata,,Myrtaceae,,,Angophora,,f,
Angophora floribunda,,Myrtaceae,,,Angophora,,f,
Angophora hispida,,Myrtaceae,,,Angophora,,f,
Angophora subvelutina,,Myrtaceae,,,Angophora,,f,
Anisopogon avenaceus,,Poaceae,,,Anisopogon,,f,
Anthosachne scabra,,Poaceae,,,Anthosachne,,f,
Aristida ramosa,,Poaceae,,,Aristida,,f,
Aristida warburgii,,Poaceae,,,Aristida,,f,
Arthropodium milleflorum,,Asparagaceae,,,Arthropodium,,f,
Arthropodium minus,,Asparagaceae,,,Arthropodium,,f,
Asperula conferta,,Rubiaceae,,,Asperula,,f,
Asplenium flabellifolium,,Aspleniaceae,,,Asplenium,,f,
Astroloma humifusum,,Ericaceae,,,Astroloma,,f,
Atriplex australasica,,Chenopodiaceae,,,Atriplex,,f,
Atriplex semibaccata,,Chenopodiaceae,,,Atriplex,,f,
Austrostipa pubescens,,Poaceae,,,Austrostipa,,f,
Austrostipa ramosissima,,Poaceae,,,Austrostipa,,f,
Austrostipa setacea,,Poaceae,,,Austrostipa,,f,
Backhousia myrtifolia,,Myrtaceae,,,Backhousia,,f,
Baeckea diosmifolia,,Myrtaceae,,,Baeckea,,f,
Banksia ericifolia,,Proteaceae,,,Banksia,,f,
Banksia integrifolia,,Proteaceae,,,Banksia,,f,
Banksia marginata,,Proteaceae,,,Banksia,,f,
Banksia oblongifolia,,Proteaceae,,,Banksia,,f,
Banksia serrata,,Proteaceae,,,Banksia,,f,
Banksia spinulosa,,Proteaceae,,,Banksia,,f,
Billardiera scandens,,Pittosporaceae,,,Billardiera,,f,
Bolboschoenus caldwellii,,Cyperaceae,,,Bolboschoenus,,f,
Bolboschoenus fluviatilis,,Cyperaceae,,,Bolboschoenus,,f,
Boronia ledifolia,,Rutaceae,,,Boronia,,f,
Bossiaea heterophylla,,Fabaceae,,,Bossiaea,,f,
Bossiaea prostrata,,Fabaceae,,,Bossiaea,,f,
Bossiaea scolopendria,,Fabaceae,,,Bossiaea,,f,
Bothriochloa macra,,Poaceae,,,Bothriochloa,,f,
Brachychiton acerifolius,,Malvaceae,,,Brachychiton,,f,
Brachychiton populneus,,Malvaceae,,,Brachychiton,,f,
Brachyloma daphnoides,,Ericaceae,,,Brachyloma,,f,
Breynia oblongifolia,,Phyllanthaceae,,,Breynia,,f,
Brunoniella australis,,Goodeniaceae,,,Brunoniella,,f,
Brunoniella pumilio,,Goodeniaceae,,,Brunoniella,,f,
Burchardia umbellata,,Colchicaceae,,,Burchardia,,f,
Bursaria spinosa,,Pittosporaceae,,,Bursaria,,f,
Chorizema parviflorum,,Fabaceae,,endangered population,Chorizema,,f,
Caladenia carnea,,Orchidaceae,,,Caladenia,,f,
Caladenia catenata,,Orchidaceae,,,Caladenia,,f,
Caladenia picta,,Orchidaceae,,,Caladenia,,f,
Calandrinia pickeringii,,Montiaceae,,,Calandrinia,,f,
Callicoma serratifolia,,Cunoniaceae,,,Callicoma,,f,
Callistemon citrinus,,Myrtaceae,,,Callistemon,,f,
Callistemon linearis,,Myrtaceae,,,Callistemon,,f,
Callistemon pinifolius,,Myrtaceae,,,Callistemon,,f,
Callistemon salignus,,Myrtaceae,,,Callistemon,,f,
Callistemon sieberi,,Myrtaceae,,,Callistemon,,f,
Callistemon viminalis,,Myrtaceae,,,Callistemon,,f,
Callitris rhomboidea,,Cupressaceae,,,Callitris,,f,
Calochilus campestris,,Orchidaceae,,,Calochilus,,f,
Calochilus paludosus,,Orchidaceae,,,Calochilus,,f,
Calochlaena dubia,,Dicksoniaceae,,,Calochlaena,,f,
Calotis cuneifolia,,Asteraceae,,,Calotis,,f,
Calotis dentex,,Asteraceae,,,Calotis,,f,
Calotis lappulacea,,Asteraceae,,,Calotis,,f,
Calystegia marginata,,Convolvulaceae,,,Calystegia,,f,
Carex appressa,,Cyperaceae,,,Carex,,f,
Carex breviculmis,,Cyperaceae,,,Carex,,f,
Carex inversa,,Cyperaceae,,,Carex,,f,
Carex pumila,,Cyperaceae,,,Carex,,f,
Cassinia aureonitens,,Asteraceae,,,Cassinia,,f,
Cassinia laevis,,Asteraceae,,,Cassinia,,f,
Cassinia longifolia,,Asteraceae,,,Cassinia,,f,
Cassinia sifton,,Asteraceae,,,Cassinia,,f,
Cassinia trinerva,,Asteraceae,,,Cassinia,,f,
Cassytha glabella,,Lauraceae,,,Cassytha,,f,
Cassytha pubescens,,Lauraceae,,,Cassytha,,f,
Casuarina glauca,,Casuarinaceae,,,Casuarina,,f,
Caustis flexuosa,,Cyperaceae,,,Caustis,,f,
Cayratia clematidea,,Vitaceae,,,Cayratia,,f,
Cenchrus purpurascens,,Poaceae,,,Cenchrus,,f,
Centella asiatica,,Araliaceae,,,Centella,,f,
Ceratopetalum apetalum,,Cunoniaceae,,,Ceratopetalum,,f,
Ceratopetalum gummiferum,,Cunoniaceae,,,Ceratopetalum,,f,
Acacia pubescens,,Fabaceae,,vulnerable,Acacia,,f,
Chloris truncata,,Poaceae,,,Chloris,,f,
Chloris ventricosa,,Poaceae,,,Chloris,,f,
Chrysocephalum apiculatum,,Asteraceae,,,Chrysocephalum,,f,
Clematis aristata,,Ranunculaceae,,,Clematis,,f,
Clematis glycinoides,,Ranunculaceae,,,Clematis,,f,
Callistemon linearifolius,,Myrtaceae,,vulnerable,Callistemon,,f,
Clerodendrum tomentosum,,Lamiaceae,,,Clerodendrum,,f,
Comesperma ericinum,,Polygalaceae,,,Comesperma,,f,
Commelina cyanea,,Commelinaceae,,,Commelina,,f,
Commersonia dasyphylla,,Malvaceae,,,Commersonia,,f,
Convolvulus erubescens,,Convolvulaceae,,,Convolvulus,,f,
Coronidium oxylepis,,Asteraceae,,,Coronidium,,f,
Coronidium scorpioides,,Asteraceae,,,Coronidium,,f,
Corybas aconitiflorus,,Orchidaceae,,,Corybas,,f,
Corymbia gummifera,,Myrtaceae,,,Corymbia,,f,
Corymbia maculata,,Myrtaceae,,,Corymbia,,f,
Cotula australis,,Asteraceae,,,Cotula,,f,
Crassula sieberiana,,Crassulaceae,,,Crassula,,f,
Crinum pedunculatum,,Amaryllidaceae,,,Crinum,,f,
Cryptandra amara,,Rhamnaceae,,,Cryptandra,,f,
Cryptandra propinqua,,Rhamnaceae,,,Cryptandra,,f,
Cryptandra spinescens,,Rhamnaceae,,,Cryptandra,,f,
Cryptostylis erecta,,Orchidaceae,,,Cryptostylis,,f,
Cyanicula caerulea,,Orchidaceae,,,Cyanicula,,f,
Cyanthillium cinereum,,Asteraceae,,,Cyanthillium,,f,
Cyathochaeta diandra,,Cyperaceae,,,Cyathochaeta,,f,
Cymbopogon refractus,,Poaceae,,,Cymbopogon,,f,
Cynodon dactylon,,Poaceae,,,Cynodon,,f,
Cyperus difformis,,Cyperaceae,,,Cyperus,,f,
Cyperus gracilis,,Cyperaceae,,,Cyperus,,f,
Cyperus imbecillis,,Cyperaceae,,,Cyperus,,f,
Cyperus laevis,,Cyperaceae,,,Cyperus,,f,
Cyperus polystachyos,,Cyperaceae,,,Cyperus,,f,
Dampiera stricta,,Goodeniaceae,,,Dampiera,,f,
Daviesia acicularis,,Fabaceae,,,Daviesia,,f,
Daviesia corymbosa,,Fabaceae,,,Daviesia,,f,
Dendrophthoe vitellina,,Loranthaceae,,,Dendrophthoe,,f,
Denhamia silvestris,,Celastraceae,,,Denhamia,,f,
Epacris purpurascens,,Ericaceae,,vulnerable,Epacris,,f,
Deyeuxia quadriseta,,Poaceae,,,Deyeuxia,,f,
Dianella caerulea,,Asphodelaceae,,,Dianella,,f,
Dianella revoluta,,Asphodelaceae,,,Dianella,,f,
Dichanthium sericeum,,Poaceae,,,Dichanthium,,f,
Dichelachne crinita,,Poaceae,,,Dichelachne,,f,
Dichelachne inaequiglumis,,Poaceae,,,Dichelachne,,f,
Dichelachne micrantha,,Poaceae,,,Dichelachne,,f,
Dichelachne parva,,Poaceae,,,Dichelachne,,f,
Dichelachne rara,,Poaceae,,,Dichelachne,,f,
Dichondra repens,,Convolvulaceae,,,Dichondra,,f,
Digitaria didactyla,,Poaceae,,,Digitaria,,f,
Digitaria parviflora,,Poaceae,,,Digitaria,,f,
Digitaria ramularis,,Poaceae,,,Digitaria,,f,
Dillwynia parvifolia,,Fabaceae,,,Dillwynia,,f,
Dillwynia retorta,,Fabaceae,,,Dillwynia,,f,
Dillwynia sericea,,Fabaceae,,,Dillwynia,,f,
Dillwynia sieberi,,Fabaceae,,,Dillwynia,,f,
Dipodium punctatum,,Orchidaceae,,,Dipodium,,f,
Dipodium variegatum,,Orchidaceae,,,Dipodium,,f,
Diuris aurea,,Orchidaceae,,,Diuris,,f,
Diuris maculata,,Orchidaceae,,,Diuris,,f,
Diuris sulphurea,,Orchidaceae,,,Diuris,,f,
Dodonaea multijuga,,Sapindaceae,,,Dodonaea,,f,
Dodonaea triquetra,,Sapindaceae,,,Dodonaea,,f,
Drosera auriculata,,Droseraceae,,,Drosera,,f,
Drosera glanduligera,,Droseraceae,,,Drosera,,f,
Drosera peltata,,Droseraceae,,,Drosera,,f,
Drosera pygmaea,,Droseraceae,,,Drosera,,f,
Drosera spatulata,,Droseraceae,,,Drosera,,f,
Echinopogon caespitosus,,Poaceae,,,Echinopogon,,f,
Echinopogon ovatus,,Poaceae,,,Echinopogon,,f,
Eclipta prostrata,,Asteraceae,,,Eclipta,,f,
Einadia hastata,,Amaranthaceae,,,Einadia,,f,
Einadia polygonoides,,Amaranthaceae,,,Einadia,,f,
Einadia trigonos,,Amaranthaceae,,,Einadia,,f,
Elaeocarpus reticulatus,,Elaeocarpaceae,,,Elaeocarpus,,f,
Eleocharis gracilis,,Cyperaceae,,,Eleocharis,,f,
Eleocharis sphacelata,,Cyperaceae,,,Eleocharis,,f,
Entolasia marginata,,Poaceae,,,Entolasia,,f,
Entolasia whiteana,,Poaceae,,,Entolasia,,f,
Epacris longiflora,,Ericaceae,,,Epacris,,f,
Epacris microphylla,,Ericaceae,,,Epacris,,f,
Epacris pulchella,,Ericaceae,,,Epacris,,f,
Epilobium hirtigerum,,Onagraceae,,,Epilobium,,f,
Eragrostis brownii,,Poaceae,,,Eragrostis,,f,
Eragrostis leptostachya,,Poaceae,,,Eragrostis,,f,
Eragrostis parviflora,,Poaceae,,,Eragrostis,,f,
Eremophila debilis,,Scrophulariaceae,,,Eremophila,,f,
Eriochloa pseudoacrotricha,,Poaceae,,,Eriochloa,,f,
Eriostemon australasius,,Rutaceae,,,Eriostemon,,f,
Eucalyptus acmenoides,,Myrtaceae,,,Eucalyptus,,f,
Eucalyptus amplifolia,,Myrtaceae,,,Eucalyptus,,f,
Eucalyptus baueriana,,Myrtaceae,,,Eucalyptus,,f,
Eucalyptus beyeriana,,Myrtaceae,,,Eucalyptus,,f,
Eucalyptus bosistoana,,Myrtaceae,,,Eucalyptus,,f,
Eucalyptus botryoides,,Myrtaceae,,,Eucalyptus,,f,
Eucalyptus capitellata,,Myrtaceae,,,Eucalyptus,,f,
Eucalyptus crebra,,Myrtaceae,,,Eucalyptus,,f,
