scientific_name,exotic,native,category
Soliva sp.,f,Exotic,Genus Only
Capillipedium spicigerum,f,Native,Native
Carpobrotus glaucescens,f,Native,Native
Centaurium spicatum,f,Native,Native
Centipeda minima,f,Native,Native
Chiloglottis diphylla,f,Native,Native
Chiloglottis formicifera,f,Native,Native
Christella dentata,f,Native,Native
Comesperma sphaerocarpum,f,Native,Native
Conospermum longifolium,f,Native,Native
Corybas fimbriatus,f,Native,Native
Crassula decumbens,f,Native,Native
Cymbidium suave,f,Native,Native
Cyperus mirus,f,Native,Native
Cyperus odoratus,f,Native,Native
Cyperus platystylis,f,Native,Native
Daviesia squarrosa,f,Native,Native
Dendrobium speciosum,f,Native,Native
Dichelachne sieberiana,f,Native,Native
Digitaria diffusa,f,Native,Native
Dillwynia elegans,f,Native,Native
Dillwynia phylicoides,f,Native,Native
Dipodium roseum,f,Native,Native
Doodia aspera,f,Native,Native
Dysphania carinata,f,Native,Native
Dysphania pumilio,f,Native,Native
Eleocharis cylindrostachys,f,Native,Native
Eleocharis equisetina,f,Native,Native
Eragrostis elongata,f,Native,Native
Erythrorchis cassythoides,f,Native,Native
Ficus coronata,f,Native,Native
Galium liratum,f,Native,Native
Gompholobium inconspicuum,f,Native,Native
Gonocarpus humilis,f,Native,Native
Gonocarpus micranthus,f,Native,Native
Hemarthria uncinata,f,Native,Native
Eucalyptus camaldulensis,f,Native,Native
Hydrocotyle acutiloba,f,Native,Native
Hydrocotyle tripartita,f,Native,Native
Isachne globosa,f,Native,Native
Isotoma fluviatilis,f,Native,Native
Juncus aridicola,f,Native,Native
Juncus flavidus,f,Native,Native
Juncus planifolius,f,Native,Native
Juncus prismatocarpus,f,Native,Native
Leptospermum grandifolium,f,Native,Native
Lomandra hystrix,f,Native,Native
Lythrum hyssopifolia,f,Native,Native
Melaleuca armillaris,f,Native,Native
Melaleuca hypericifolia,f,Native,Native
Mentha satureioides,f,Native,Native
Microtis parviflora,f,Native,Native
Mirbelia speciosa,f,Native,Native
Myoporum bateae,f,Native,Native
Myriophyllum variifolium,f,Native,Native
Olax stricta,f,Native,Native
Pandorea jasminoides,f,Native,Native
Panicum decompositum,f,Native,Native
Paspalidium caespitosum,f,Native,Native
Paspalum distichum,f,Native,Native
Pelargonium australe,f,Native,Native
Persicaria subsessilis,f,Native,Native
Petrophile pulchella,f,Native,Native
Philotheca hispidula,f,Native,Native
Pomaderris elliptica,f,Native,Native
Potamogeton sulcatus,f,Native,Native
Pterostylis bicolor,f,Native,Native
Pterostylis curta,f,Native,Native
Pterostylis oblonga,f,Native,Native
Pterostylis parviflora,f,Native,Native
Pterostylis pedunculata,f,Native,Native
Pterostylis truncata,f,Native,Native
Pultenaea paleacea,f,Native,Native
Pultenaea scabra,f,Native,Native
Pyrrosia rupestris,f,Native,Native
Ranunculus lappaceus,f,Native,Native
Ruppia maritima,f,Native,Native
Santalum obtusifolium,f,Native,Native
Senecio tenuiflorus,f,Native,Native
Senna clavigera,f,Native,Native
Sigesbeckia orientalis,f,Native,Native
Solenogyne dominii,f,Native,Native
Sphaeromorphaea australis,f,Native,Native
Stylidium laricifolium,f,Native,Native
Stylidium productum,f,Native,Native
Styphelia triflora,f,Native,Native
Styphelia viridis,f,Native,Native
Thelymitra ixioides,f,Native,Native
Thysanotus tuberosus,f,Native,Native
Typha domingensis,f,Native,Native
Vittadinia pustulata,f,Native,Native
Wurmbea dioica,f,Native,Native
Zornia dyctiocarpa,f,Native,Native
Zostera capricorni,f,Native,Native
Acacia baileyana,f,Native,Native
Acacia binervia,f,Native,Native
Acacia brownii,f,Native,Native
Acacia decurrens,f,Native,Native
Acacia echinula,f,Native,Native
Acacia falcata,f,Native,Native
Acacia fimbriata,f,Native,Native
Acacia floribunda,f,Native,Native
Acacia genistifolia,f,Native,Native
Acacia implexa,f,Native,Native
Acacia linifolia,f,Native,Native
Acacia longifolia,f,Native,Native
Acacia maidenii,f,Native,Native
